Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
1993-01-29,24.526065826416016,24.543509685467523,24.421402672106986,24.543509685467523,1003200
1993-02-01,24.700515747070312,24.700515747070312,24.54352094359317,24.54352094359317,480500
1993-02-02,24.75285530090332,24.77029917356076,24.630748192301258,24.683079810273572,201300
1993-02-03,25.014507293701172,25.03195116210682,24.77029313602208,24.78773700442773,529400
1993-02-04,25.11916160583496,25.171493192513783,24.822615947988297,25.101717743608685,531500
1993-02-05,25.101736068725586,25.154067693608265,24.962185069038437,25.101736068725586,492100
1993-02-08,25.101736068725586,25.188955443530052,25.066848318803796,25.101736068725586,596100
1993-02-09,24.927289962768555,25.014509311833525,24.87495835332957,25.014509311833525,122100
1993-02-10,24.962175369262695,24.97961923744527,24.857512160167257,24.92728763289755,379600
1993-02-11,25.084272384643555,25.188935551756114,24.99705307871642,24.99705307871642,19500
1993-02-12,24.892385482788086,25.04938020552466,24.892385482788086,25.04938020552466,42500
1993-02-16,24.26441764831543,24.8226213612889,24.229529916254588,24.8226213612889,374800
1993-02-17,24.24698257446289,24.29931419153008,24.159763212684247,24.26442644681862,210900
1993-02-18,24.229530334472656,24.52607606210839,23.898096874173895,24.52607606210839,378100
1993-02-19,24.31674575805664,24.31674575805664,24.194638713360515,24.22952644041655,34900
1993-02-22,24.403982162475586,24.43886991395875,24.316762783767665,24.386538286734,513600
1993-02-23,24.38652801513672,24.49119122550211,24.264420936377093,24.47374735710788,373700
1993-02-24,24.700515747070312,24.700515747070312,24.403970007169043,24.403970007169043,26300
1993-02-25,24.75285530090332,24.77029917356076,24.630748192301258,24.683079810273572,44500
1993-02-26,24.787736892700195,24.80518076102722,24.665629814411034,24.80518076102722,66200
1993-03-01,24.71795654296875,24.874951326939616,24.683068813197448,24.874951326939616,66500
1993-03-02,25.084272384643555,25.084272384643555,24.700507438564166,24.73539516093502,182400
1993-03-03,25.188947677612305,25.206391547195143,25.084284460115303,25.11917219928097,280100
1993-03-04,25.04939842224121,25.223837129916987,25.049398422241214,25.223837129916987,89500
1993-03-05,24.979604721069336,25.18893101761461,24.962160863023897,25.084267869341975,40000
1993-03-08,25.537813186645508,25.537813186645508,25.03194120412316,25.03194120412316,50800
1993-03-09,25.450593948364258,25.502925532905103,25.398262363823413,25.48548167139149,169300
1993-03-10,25.502939224243164,25.50293922424316,25.345944386337425,25.450607611607918,194400
1993-03-11,25.43316078186035,25.590155601501465,25.398273044162327,25.520380126105415,70900
1993-03-12,25.171499252319336,25.241274718022233,25.014504454487824,25.223830851596507,643600
1993-03-15,25.29361343383789,25.29361343383789,25.15406246316844,25.15406246316844,310800
1993-03-16,25.29361343383789,25.363388919172618,25.29361343383789,25.29361343383789,30800
1993-03-17,25.136608123779297,25.258715172264,25.10172039564081,25.258715172264,21800
1993-03-18,25.29361343383789,25.39827666183998,25.241281819836846,25.241281819836846,59300
1993-03-19,25.255321502685547,25.39553147632988,25.255321502685543,25.39553147632988,66900
1993-03-22,25.1151180267334,25.16769678045301,24.99243426805431,25.009960519294182,183400
1993-03-23,25.167705535888672,25.20275805056261,25.132653021214733,25.18523179322564,55200
1993-03-24,25.167705535888672,25.27286307991049,25.009969219855943,25.132653021214733,37200
1993-03-25,25.32541847229004,25.37799719576192,25.150156060717098,25.185208543031685,110100
1993-03-26,25.185222625732422,25.325432633391337,25.16769637477506,25.307906382433973,101500
1993-03-29,25.290380477905273,25.413064236287347,25.202749221918072,25.202749221918072,87100
1993-03-30,25.360488891601562,25.360488891601562,25.29038387738843,25.325436384494996,56000
1993-03-31,25.342960357666016,25.500696625452317,25.342960357666016,25.430591617547293,111600
1993-04-01,25.255321502685547,25.378005229624335,25.20274276256892,25.378005229624335,129500
1993-04-02,24.729534149169922,25.045006590477545,24.729534149169922,25.045006590477545,59400
1993-04-05,24.852216720581055,24.92232170427804,24.782111736884072,24.92232170427804,172200
1993-04-06,24.78213882446289,24.90482268002954,24.712033764139093,24.90482268002954,129700
1993-04-07,24.86975860595703,24.86975860595703,24.764601064282793,24.817179835119912,28000
1993-04-08,24.83469009399414,24.97490005923899,24.7295326200605,24.97490005923899,180800
1993-04-12,25.185222625732422,25.20274887668979,25.04501261807351,25.080065119988237,348500
1993-04-13,25.23780059814453,25.32543185022142,25.15016934606764,25.167695596483018,146100
1993-04-14,25.202743530273438,25.272848519231083,25.185217283034024,25.25532227199167,119600
1993-04-15,25.202743530273438,25.25532227199167,25.09758604683697,25.185217283034024,148600
1993-04-16,25.202743530273438,25.25532227199167,25.167691035794615,25.220269777512847,47900
1993-04-19,25.09758186340332,25.27284430658351,25.080055619085304,25.202739329311438,157000
1993-04-20,24.97490119934082,25.097584924530565,24.81716498123972,25.06253243161921,279500
1993-04-21,24.957380294799805,25.02748529562789,24.887275293971715,25.02748529562789,67900
1993-04-22,24.641902923583984,25.062532845465928,24.64190292358398,24.852217884524954,97700
1993-04-23,24.53675651550293,24.659440298080444,24.50170400619507,24.589335279464724,106000
1993-04-26,24.343961715698242,24.64190797139793,24.273856714357137,24.554276719721553,62600
1993-04-27,24.606853485107422,24.60685348510742,24.308907253450137,24.308907253450137,156800
1993-04-28,24.554277420043945,24.624382423384542,24.51922491837365,24.571803670879095,85900
1993-04-29,24.659440994262695,24.6594409942627,24.46665218762667,24.606862228816507,85000
1993-04-30,24.694490432739258,24.834700456487955,24.694490432739258,24.747069191645018,88500
1993-05-03,24.852216720581055,24.85221672058106,24.624375523565856,24.729532999111335,80500
1993-05-04,24.939851760864258,25.027483003875023,24.86974676645564,24.90479926365995,149100
1993-05-05,25.00994873046875,25.097579945361773,24.939843758554332,24.939843758554332,109000
1993-05-06,24.922325134277344,24.992430127622708,24.904798885941002,24.974903879286366,54700
1993-05-07,24.86975860595703,24.939863633739854,24.83470609206562,24.939863633739854,68000
1993-05-10,24.922325134277344,25.062535120968075,24.904798885941002,24.904798885941002,113900
1993-05-11,25.027482986450195,25.027482986450195,24.852220500550683,24.92232549491049,42600
1993-05-12,24.99244499206543,25.009971250825643,24.922339957024572,24.922339957024572,31000
1993-05-13,24.694490432739258,24.887279215393715,24.676964179770668,24.887279215393715,129100
1993-05-14,24.676939010620117,24.76457018608397,24.659412775527347,24.694465245712887,63500
1993-05-17,24.764589309692383,24.764589309692386,24.641905569304665,24.747063061065568,34000
1993-05-18,24.74707794189453,24.799656719391475,24.659446646066293,24.782130460225826,105200
1993-05-19,25.255321502685547,25.255321502685543,24.58932412787496,24.747060348224835,50200
1993-05-20,25.32541847229004,25.32541847229004,25.20273478418898,25.255313507660862,98200
1993-05-21,25.09758186340332,25.37800177249163,25.080055619085304,25.34294928385559,221400
1993-05-24,25.202743530273438,25.290374766470492,25.1501647885552,25.1501647885552,30500
1993-05-25,25.255321502685547,25.30790024280217,25.255321502685543,25.30790024280217,191800
1993-05-26,25.57079315185547,25.588319398018495,25.307899459410073,25.3254257055731,102400
1993-05-27,25.483165740966797,25.605849482498275,25.448113243386373,25.605849482498275,53800
1993-05-28,25.360488891601562,25.465646412921263,25.237805116728577,25.465646412921263,79100
1993-06-01,25.605852127075195,25.693483380076824,25.41306337047162,25.44811587167227,28300
1993-06-02,25.57079315185547,25.6584243826706,25.430583182551256,25.535740659529413,20300
1993-06-03,25.483165740966797,25.51821823854722,25.430586994596165,25.51821823854722,21600
1993-06-04,25.395538330078125,25.41306458151365,25.290380821464964,25.41306458151365,32000
1993-06-07,25.30791473388672,25.44812478781407,25.307914733886722,25.44812478781407,121400
1993-06-08,25.08007049560547,25.237806788030664,25.080070495605472,25.237806788030664,104500
1993-06-09,25.167705535888672,25.27286307991049,25.132653021214733,25.167705535888672,43300
1993-06-10,25.185222625732422,25.20274887668979,25.0975913709456,25.150170123817695,17900
1993-06-11,25.290380477905273,25.32543298030015,25.185222970720634,25.27285422670783,647400
1993-06-14,25.255321502685547,25.342952736213253,25.255321502685543,25.325426489507713,64200
1993-06-15,25.202743530273438,25.307901013709905,25.202743530273438,25.290374766470492,142400
1993-06-16,25.255321502685547,25.255321502685543,25.132637775746755,25.20274276256892,330900
1993-06-17,25.342960357666016,25.342960357666016,25.255329097784735,25.307907853713502,37400
1993-06-18,25.134258270263672,25.32841335521655,25.134258270263672,25.32841335521655,58500
1993-06-21,25.18720817565918,25.204858636889497,25.15190725319855,25.204858636889497,29300
1993-06-22,25.20486068725586,25.222511149922006,25.16955976192357,25.222511149922006,137500
1993-06-23,24.975400924682617,25.204856904909384,24.975400924682617,25.204856904909384,227600
1993-06-24,25.310768127441406,25.310768127441406,25.04601113866064,25.04601113866064,243700
1993-06-25,25.29311180114746,25.363713648463992,25.27546133931833,25.29311180114746,44800
1993-06-28,25.575523376464844,25.575523376464844,25.381368264566216,25.41666919400233,439900
1993-06-29,25.45195960998535,25.540211897121225,25.416658695131,25.540211897121225,207500
1993-06-30,25.45195960998535,25.540211897121225,25.416658695131,25.4872605248397,437600
1993-07-01,25.381359100341797,25.487261850412768,25.346058183651476,25.487261850412768,605700
1993-07-02,25.240158081054688,25.310759921840855,25.15190578007198,25.293109461644313,285400
1993-07-06,24.975400924682617,25.275458744979158,24.940100004647732,25.204856904909384,246400
1993-07-07,25.046016693115234,25.081317632781357,24.957764343949922,24.957764343949922,343700
1993-07-08,25.32840919494629,25.381360573054188,25.028351385668177,25.06365230440678,248200
1993-07-09,25.399017333984375,25.399017333984375,25.275464087745394,25.328415478990674,378200
1993-07-12,25.381359100341797,25.39900955868696,25.328407725306317,25.363708641996638,373700
1993-07-13,25.36370086669922,25.46960358430548,25.222497243224208,25.399001772567974,389600
1993-07-14,25.45195960998535,25.522561439694048,25.36370732284948,25.381357780276655,617300
1993-07-15,25.3460693359375,25.434321666494384,25.293117937603366,25.434321666494384,443800
1993-07-16,25.27545738220215,25.381360136596847,25.24015646407058,25.363709677531066,216400
1993-07-19,25.25782012939453,25.275470597689008,25.18721825621663,25.275470597689008,188200
1993-07-20,25.32840919494629,25.32840919494629,25.116603682514683,25.240156898099784,68500
1993-07-21,25.310768127441406,25.310768127441406,25.222515797847816,25.293117661522686,142700
1993-07-22,25.134258270263672,25.310762892948105,25.134258270263672,25.275461968411218,632400
1993-07-23,25.25782012939453,25.25782012939453,25.169567787922155,25.18721825621663,286200
1993-07-26,25.399017333984375,25.45196872522965,25.328415478990674,25.328415478990674,121300
1993-07-27,25.381359100341797,25.434310475377284,25.293106808615992,25.41666001703212,92800
1993-07-28,25.32840919494629,25.381360573054188,25.293108276207686,25.32840919494629,30800
1993-07-29,25.46961212158203,25.54021395698489,25.346058909627022,25.381359827328453,331000
