Price,Close,High,Low,Open,Volume
Ticker,SH,SH,SH,SH,SH
Date,,,,,
2006-06-21,459.6093444824219,465.4549138785536,458.67936868485276,465.4549138785536,550
2006-06-22,463.2629089355469,465.1228609425552,461.66867159809567,462.0008276050148,900
2006-06-23,463.3956604003906,464.857065329214,460.47285054274386,464.7241826921154,1013
2006-06-26,461.9342956542969,464.32567653132435,461.6021397125337,463.6614153276792,1100
2006-06-27,465.9199523925781,466.1192257022939,461.668619519024,461.668619519024,2213
2006-06-28,463.52862548828125,466.6507095183969,463.52862548828125,465.25574550747336,15463
2006-06-29,453.36529541015625,460.9379863999784,453.1660220704072,460.9379863999784,6825
2006-06-30,454.0294189453125,454.0294189453125,452.5680139909156,453.0330018691439,2050
2006-07-03,451.3724060058594,453.76378715311296,451.17313269023606,453.3652405218663,2700
2006-07-05,454.693603515625,456.61999602377466,454.3614983327594,454.5607715784526,4725
2006-07-06,454.0294189453125,454.9593947017691,452.23590875211124,453.6973137065081,4525
2006-07-07,457.28436279296875,458.1479479637914,453.7637328254389,455.2251378715564,9200
2006-07-10,456.8194580078125,457.81587532782487,454.36168605565734,455.8230913676902,3788
2006-07-11,454.5609130859375,459.7422218064094,454.42808110741373,457.94871135697105,9713
2006-07-12,460.0079040527344,460.6721652583505,454.3616077851753,454.3616077851753,14238
2006-07-13,466.1856994628906,466.58424611004745,461.070831664785,462.33291294074456,28050
2006-07-14,468.178466796875,471.6326554957239,466.58417907751544,467.447764262139,24100
2006-07-17,469.63983154296875,470.5034167466361,467.0491772917325,468.9755703185282,17213
2006-07-18,468.31121826171875,473.02753792433003,467.18196933120754,468.97547935732103,14238
2006-07-19,460.0742492675781,467.6469369254036,459.4099882007264,467.6469369254036,27238
2006-07-20,464.5914001464844,464.5914001464844,458.4800651868999,458.4800651868999,6138
2006-07-21,467.5805358886719,468.51051159833963,464.52489417406696,464.5913354904361,11525
2006-07-24,459.94140625,465.32203791850657,459.4764183951785,464.9898820165447,15700
2006-07-25,457.6164855957031,461.6685445011102,455.8893660590024,460.34002219895723,4213
2006-07-26,456.9522399902344,459.8750499702583,455.2915617161079,458.4136449802464,4738
2006-07-27,459.6757507324219,460.2071799718991,455.02587158670025,455.15870355662867,10300
2006-07-28,454.4280090332031,461.6685416916668,453.5644239301694,461.6685416916668,6275
2006-07-31,454.49444580078125,456.2880068276752,454.3616138298434,455.6236949333399,26363
2006-08-01,457.4836730957031,458.9450274182767,456.75297059447666,457.6829463815141,10275
2006-08-02,454.693603515625,455.6900204239602,452.5679377617822,455.6900204239602,3200
2006-08-03,453.6973571777344,457.2179872616335,452.43522538166394,457.2179872616335,2800
2006-08-04,454.62738037109375,456.4873322559264,447.3867954709807,448.3832127463947,8363
2006-08-07,455.95587158203125,456.8194061320388,454.8266223982019,455.69015694820945,2350
2006-08-08,457.9486999511719,458.67940251456605,453.4316525955917,454.9594483700458,13388
2006-08-09,459.5429382324219,459.9414848389746,453.23238045587925,453.4980444069918,5538
2006-08-10,458.0151062011719,461.5357871628595,457.085130303333,459.6757846872963,11563
2006-08-11,459.6093444824219,461.0707495014248,458.81220065027117,459.343629871705,5813
2006-08-14,458.6794738769531,459.4765672120267,455.0924018294473,456.02237784029415,11563
2006-08-15,453.498046875,455.6237132546558,452.7673949856383,455.0923346696549,5775
2006-08-16,449.578857421875,452.0366796928744,448.98098684573665,450.70810656805736,17600
2006-08-17,448.78179931640625,450.3760873708807,447.45327661756994,450.1767633541521,6775
2006-08-18,447.71893310546875,450.4424194880927,447.4532184642566,449.04745563164346,7700
2006-08-21,449.1138916015625,449.7117115272402,448.5824623254811,449.24672358064026,5625
2006-08-22,449.1138916015625,450.5088554413623,447.78536909124426,449.7117115272402,5413
2006-08-23,451.70452880859375,452.1030754105681,447.9181840501877,448.9146012350068,8500
2006-08-24,450.3759460449219,451.8373002831185,449.77807554212995,450.2430634088008,7450
2006-08-25,450.50885009765625,451.305994002323,449.11388627440283,451.23955267362965,5575
2006-08-28,448.3831481933594,451.30595826581117,447.6524456752464,450.3759824572821,5400
2006-08-29,447.78533935546875,450.90737211538254,447.18746878960826,449.11386177756475,6075
2006-08-30,447.78533935546875,448.4496005665167,446.78892219895585,447.78533935546875,3288
2006-08-31,447.65252685546875,448.5825028326458,447.05470687580777,447.05470687580777,5500
2006-09-01,445.72601318359375,447.78528858822045,445.46029859332333,447.6524059531472,4375
2006-09-05,445.32757568359375,446.7889809479911,444.7961463729241,445.85900499426344,7063
2006-09-06,449.97735595703125,450.2430705536135,447.38670199020083,447.5195846284306,12425
2006-09-07,452.36883544921875,452.9002647584539,450.0438955711756,451.3060275106369,8150
2006-09-08,450.4423828125,452.23594382467627,449.37957501407254,451.7045145855217,4075
2006-09-11,450.7745666503906,453.4980529797913,449.44604415017835,452.70095975161786,6325
2006-09-12,445.7925109863281,451.04026077937624,445.46035503643446,449.51241436170096,17825
2006-09-13,443.9326171875,446.2575571002804,443.73334386353156,446.1911157656612,6850
2006-09-14,445.0618591308594,446.0582764141449,444.5968711559779,444.5968711559779,11750
2006-09-15,444.26470947265625,444.4640334706686,442.07265229339674,442.07265229339674,6325
2006-09-18,443.6003723144531,444.6632307358492,442.072576683545,444.2646334878862,1450
2006-09-19,444.4639892578125,446.52321424677757,443.7332867107831,443.7332867107831,9413
2006-09-20,442.2718811035156,443.73328619587863,441.54117855733415,442.2718811035156,7625
2006-09-21,444.5303649902344,445.72605541981477,441.60760558005643,442.07259348712205,10525
2006-09-22,446.25750732421875,447.51963914175815,445.5932460917867,445.7260780663197,7450
2006-09-25,442.40472412109375,447.45320074442475,441.6076309089093,444.7961051174145,8900
2006-09-26,438.9505615234375,442.404750569132,438.9505615234375,442.1390359225575,9100
2006-09-27,439.21624755859375,440.2790553957714,438.0205570668417,439.14980623130657,10150
2006-09-28,438.88409423828125,440.4119406957631,438.2198330010698,438.88409423828125,4550
2006-09-29,439.8140563964844,440.1462123446781,438.2198193408955,438.2198193408955,7050
2006-10-02,441.8732604980469,442.0725844654766,439.41548904509176,439.61476233264165,8325
2006-10-03,440.87689208984375,443.0025582806752,439.54831904564935,442.73684367183637,7400
2006-10-04,435.4963073730469,441.2090453854597,435.2970340646882,440.8104987687424,12025
2006-10-05,434.6327209472656,436.29339922527294,434.1677330566188,435.16415015939896,16925
2006-10-06,435.4299621582031,437.42274612961097,435.4299621582031,437.42274612961097,5463
2006-10-09,435.629150390625,436.7583994884886,435.0312798400687,436.16057961781274,4663
2006-10-10,435.0978088378906,436.4263314936836,434.632820840374,435.1642501746475,2750
2006-10-11,436.22698974609375,438.2198240971207,435.0312992714541,436.8912509698085,3025
2006-10-12,432.3077392578125,435.03122501412435,431.8427514125947,434.4334052187903,5175
2006-10-13,431.31134033203125,432.7727452439389,430.97918442300636,432.7727452439389,2500
2006-10-16,430.647216796875,431.9092981587099,430.3815021207276,431.9092981587099,4250
2006-10-17,432.2413635253906,434.5663031042353,431.6435436393514,432.5070781458131,21325
2006-10-18,431.9756164550781,433.3705800975956,425.5986180836217,425.5986180836217,7750
2006-10-19,431.7099609375,433.17136610010726,431.3778556513797,433.17136610010726,5888
2006-10-20,431.2449645996094,432.97208436542854,431.11213262372354,431.51067923126493,9013
2006-10-23,429.1192932128906,432.772806005616,428.5878639557881,432.3078180756222,10750
2006-10-24,428.9864807128906,430.24856190594846,428.7872074024018,428.9864807128906,2450
2006-10-25,427.4586486816406,429.4514832138176,426.7943873975441,428.52150728010497,13238
2006-10-26,425.4658508300781,428.4550518501013,425.20013618920495,425.7979561212553,7100
2006-10-27,428.4551086425781,429.7172406840521,426.263000574721,426.7279885879126,5813
2006-10-30,429.1192932128906,430.5142570028721,428.18931735290295,429.1192932128906,3175
2006-10-31,429.7171325683594,431.3113695439258,427.85718098355187,427.85718098355187,5025
2006-11-01,432.7728271484375,433.3042564315026,428.25577960215577,428.6543262245117,9600
2006-11-02,433.4371643066406,434.4335817168877,432.7729029264408,433.7693203366879,10813
