,Close Price Prediction,Off-by Percentage,Difference,index,Current Close
1645,24.06923439025879,0.17415214632525544,3.5699877929687496,3569,20.49924659729004
2391,148.10773651123046,0.14033361822909957,18.226678771972644,8573,129.8810577392578
162,14.678211669921875,0.10918234160308896,1.4448494720458989,4131,13.233362197875977
243,0.5189660716056824,0.09407754716092055,0.044624857902526904,1124,0.4743412137031555
2054,165.51944885253906,0.09102448746660033,13.809335327148432,8561,151.71011352539062
2306,17.232317085266114,0.0883617414106738,1.3990546417236338,4255,15.83326244354248
754,19.008966693878175,0.08757276331222255,1.5306265449523941,5895,17.47834014892578
1667,14.98835241317749,0.08706091083216136,1.200392360687255,3736,13.787960052490234
1167,23.461529903411865,0.08472436643274797,1.8325053977966306,5581,21.629024505615234
1206,0.2477633064985275,0.0837140052274975,0.019139052033424364,387,0.22862425446510315
1145,0.26895912647247316,0.0804930573713888,0.020036540031433125,512,0.24892258644104004
435,245.1819595336914,0.08035606696949078,18.2364486694336,9233,226.9455108642578
728,14.496127614974975,0.07955895109791168,1.0683035945892332,5813,13.427824020385742
2345,3.916059594154358,0.0774732480668627,0.28157530307769774,2366,3.63448429107666
1373,17.95687092781067,0.07639135424649697,1.2743967914581305,4104,16.68247413635254
1774,0.2574958443641663,0.07600390220040201,0.018188306689262412,463,0.23930753767490387
152,24.153788776397704,0.07354076461690437,1.6546070289611805,3629,22.499181747436523
8,95.0361646270752,0.07116640254219907,6.314034805297851,8266,88.72212982177734
1510,19.57310010910034,0.07111868974988263,1.2995882225036617,5689,18.27351188659668
2034,19.461340503692625,0.06979554945389642,1.2696958351135237,3771,18.1916446685791
1923,140.77396102905274,0.06863811617389441,9.041844329833992,8577,131.73211669921875
1769,20.1038515663147,0.06824567928999356,1.2843496894836441,5639,18.819501876831055
1613,11.534034919738769,0.06724504430841008,0.7267372131347649,2872,10.807297706604004
442,0.08775865994393825,0.06681630979528563,0.005496456846594805,162,0.08226220309734344
1864,0.20683013901114464,0.06373770247317365,0.01239297792315483,268,0.1944371610879898
2333,190.30402435302733,0.06226817616302539,11.155266418457018,8634,179.1487579345703
1659,17.987185764312745,0.05975601081234888,1.0142357826232917,5695,16.972949981689453
851,0.5343820965290069,0.05974651503683981,0.030127457380294764,1135,0.5042546391487122
0,0.8490287506580353,0.059626665297903204,0.04777602791786195,1273,0.8012527227401733
1780,15.17896439552307,0.05765604587042079,0.827451486587524,5758,14.351512908935547
1969,0.23381086185574532,0.057269862881150733,0.012664993554353715,316,0.2211458683013916
1486,14.164616212844848,0.05720239421375324,0.7664095020294184,5785,13.39820671081543
1461,11.950795307159424,0.05669523913122308,0.6412001991271978,5797,11.309595108032227
1441,18.9534596824646,0.0557836350782414,1.0014295005798353,5681,17.952030181884766
140,0.18775483325123787,0.055522569393832495,0.009876274615526204,250,0.17787855863571167
1205,17.24105661392212,0.054785430897876006,0.8954984474182126,3728,16.345558166503906
2264,24.321598110198973,0.05362457962298618,1.2378559684753405,5515,23.083742141723633
1250,9.63786937713623,0.05346777001341374,0.48916103363037067,2983,9.14870834350586
1327,44.30883739471435,0.05293292775069787,2.227488975524899,7347,42.08134841918945
1869,1.770801352262497,0.052400130953499366,0.08817009806633003,1840,1.682631254196167
844,13.623703079223633,0.052315189637881884,0.6772938537597657,5814,12.946409225463867
1674,0.1533276742696762,0.051429230656357516,0.007499814629554735,232,0.14582785964012146
2121,14.834595527648926,0.05089735476573263,0.7184732818603514,5724,14.116122245788574
1078,249.14348663330077,0.050461790043100876,11.968285217285143,9139,237.17520141601562
2138,14.353096361160278,0.05042261498294506,0.6889804553985588,4139,13.664115905761719
1366,18.39864990234375,0.05018963788446395,0.879290313720702,3911,17.519359588623047
712,0.06507255546748639,0.05017965944606005,0.0031092952936887797,128,0.06196326017379761
1879,0.6237485486268998,0.05008945579053859,0.029752917885780383,1105,0.5939956307411194
852,0.564509248137474,0.04841232989260708,0.026067232489585868,1159,0.5384420156478882
670,0.21440457791090012,0.04799036618869315,0.009818176329135897,280,0.20458640158176422
437,405.71250305175784,0.04793342261606827,18.557656860351585,9611,387.15484619140625
578,17.58018476486206,0.04724490286339522,0.793104000091553,3934,16.787080764770508
201,13.862461423873901,0.04702118706361792,0.6225560665130612,3081,13.23990535736084
2172,27.057390155792238,0.04690134399619321,1.2121753120422376,3318,25.84521484375
563,0.8778740698099137,0.046777272917553486,0.039229505658149755,1337,0.8386445641517639
254,0.10566655665636063,0.046637329218710756,0.004708417952060701,193,0.10095813870429993
632,96.9027188873291,0.046617173073072324,4.3161252593994135,8265,92.58659362792969
1826,18.535139980316163,0.04656058742434515,0.8246125602722181,6129,17.710527420043945
238,18.253392581939696,0.04653907283754311,0.8117193031311025,3727,17.441673278808594
400,23.2829905128479,0.046464575519349134,1.0337992286682116,3631,22.249191284179688
897,13.4941854763031,0.0464642152519961,0.5991573619842523,5727,12.895028114318848
1320,22.271032028198242,0.046306556224920276,0.9856526184082028,3882,21.28537940979004
2011,1.5545025336742402,0.0453071316746975,0.06737737536430366,1537,1.4871251583099365
289,18.020066757202148,0.045285784178029836,0.7806983184814449,3940,17.239368438720703
1949,0.23667946338653564,0.044999277928745675,0.010191782116889953,663,0.2264876812696457
1700,228.5136247253418,0.04477436694532677,9.793074188232424,9281,218.72055053710938
1550,45.52631534576416,0.04458737117548319,1.943254127502442,7541,43.58306121826172
1525,0.07362995564937591,0.044247751777370684,0.0031199109554290727,150,0.07051004469394684
193,3.4989893531799314,0.044212572793711706,0.14814926147460916,2460,3.3508400917053223
114,15.262373342514039,0.04408592074808937,0.644444837570191,4130,14.617928504943848
1026,161.7828466796875,0.044020019392346295,6.821405639648447,8567,154.96144104003906
619,16.45113494873047,0.043687877627693474,0.6886303710937511,4197,15.762504577636719
814,3.6060225892066957,0.04322619807244547,0.1494159626960756,2451,3.45660662651062
736,0.07188310243189334,0.043180768295910776,0.002975483909249302,35,0.06890761852264404
1184,19.578385276794435,0.043148902015645835,0.8098420333862322,3217,18.768543243408203
226,16.186280670166017,0.04302021711600666,0.6676163101196302,3692,15.518664360046387
2211,0.21223590716719629,0.0428353460067093,0.008717769831419003,678,0.20351813733577728
2287,15.086290740966797,0.042795236521321625,0.6191257476806644,4160,14.467164993286133
2347,0.10526063762605191,0.0426166624798198,0.004302498921751982,203,0.10095813870429993
2012,17.1548482131958,0.04215463122554038,0.6939049911499033,3752,16.4609432220459
1433,270.2893078613281,0.042125239665483066,10.925751953124973,9305,259.3635559082031
1582,0.23266772285103798,0.04203371292367228,0.00938538566231728,637,0.2232823371887207
882,4.006704137325287,0.04178120700142365,0.16069106817245515,2439,3.846013069152832
767,0.258169110417366,0.04161583288393167,0.010314669013023359,601,0.24785444140434265
407,1.5372438299655915,0.04155783350628913,0.06133555054664619,1758,1.4759082794189453
1004,46.07719970703125,0.04141905686821975,1.832570800781248,7540,44.24462890625
1766,0.08344264052808285,0.04140478897279826,0.0033175619691610397,159,0.08012507855892181
1477,4.4699333381652835,0.04118703454618364,0.17682058334350614,2566,4.293112754821777
2324,87.02268348693848,0.04116430985595883,3.4405988311767572,8075,83.58208465576172
1454,18.159315586090088,0.04114526718909591,0.7176423072814941,3785,17.441673278808594
1763,10.86417202949524,0.04091670562977564,0.42705254554748606,2939,10.437119483947754
2218,0.06669365227222443,0.040456107520157755,0.0025932526588439975,75,0.06410039961338043
2409,130.66767211914063,0.040266332505888236,5.057846984863289,8419,125.60982513427734
1508,279.1156008911133,0.040161503745682725,10.7768862915039,9114,268.3387145996094
2341,0.20607170924544335,0.03983801318794754,0.00789496764540673,687,0.19817674160003662
1680,201.07631103515624,0.039758097165273086,7.688722534179675,8706,193.38758850097656
1263,0.25098983854055407,0.03953590810515146,0.009545712769031545,292,0.24144412577152252
907,1.601504099369049,0.039391363275301405,0.06069458723068233,1754,1.5408095121383667
43,250.16838928222657,0.039165953713956515,9.428795776367195,9204,240.73959350585938
2443,19.474291286468507,0.039120713163080675,0.7331661796569833,5673,18.741125106811523
2163,0.23311634674668313,0.03907184427431863,0.008765790015459074,797,0.22435055673122406
1001,1.5901343750953674,0.03903670127106791,0.05974148988723749,1483,1.5303928852081299
1808,0.24029581993818283,0.038915206475479226,0.009000889956951141,725,0.2312949299812317
288,1.9324056017398834,0.03864322453552344,0.07189608693122862,2107,1.8605095148086548
1220,0.09320176854729652,0.03857380317465266,0.0034616188704967438,177,0.08974014967679977
1465,249.06768646240235,0.03852490385012424,9.239363098144537,9142,239.8283233642578
118,284.26360412597654,0.03840655438865913,10.513787231445292,9063,273.74981689453125
1803,0.1519816155731678,0.03839505955392843,0.005619579106569295,233,0.1463620364665985
722,1.5308579802513123,0.03835880223523676,0.05655258893966675,1580,1.4743053913116455
2135,0.23238464757800104,0.03828195430754266,0.008568133562803282,644,0.22381651401519775
652,36.72274375915527,0.03825830877081643,1.353179702758787,7282,35.369564056396484
684,0.20519035026431084,0.038188677364689026,0.007547710984945305,276,0.19764263927936554
1171,12.781777057647705,0.03774645817478263,0.46491781234741225,3030,12.316859245300293
409,7.562704968452453,0.0376648594928638,0.2745088815689085,2750,7.288196086883545
2021,0.24720253825187682,0.03762308211207615,0.008963294625282281,528,0.23823924362659454
47,22.013295192718505,0.0376146223087782,0.7980051231384273,6025,21.215290069580078
1612,282.7312686157227,0.03755570042364407,10.233832092285184,9187,272.4974365234375
355,20.313169345855712,0.03659881601376373,0.7171896553039545,5679,19.595979690551758
143,0.2834297960996628,0.03632932524087024,0.009935850501060495,581,0.2734939455986023
928,1.0660831105709077,0.036230399378930626,0.037274159193039,1376,1.0288089513778687
2352,0.22138615757226943,0.03612557526795852,0.007718854248523699,627,0.21366730332374573
2278,86.99075843811035,0.03570680258749279,2.99907447814941,8085,83.99168395996094
